"K","MSE_F1","MSE_F2","MSE_F3","MSE_F4","MSE_F5","MSE_TestAvg"
57,86.6801712031077,98.1787620174319,94.6630721781381,88.1813708713157,91.6175668567512,91.8641886253489
58,83.7070834737877,97.6150092090162,94.7113410468775,88.1648560298848,90.7215475148306,90.9839674548793
59,83.7269258636483,97.5203556736357,94.8048613169614,88.148972308732,90.846212769077,91.0094655864109
60,83.4798054114022,94.8068321053558,94.82315618786,88.1550136783702,90.1763087123921,90.2882232190761
61,83.4056625821979,94.7521307638387,94.8168442892363,88.220263541482,90.3062539320146,90.3002310217539
62,83.4338315029857,95.7689246331146,94.4410684225612,88.2280099574739,90.4310979705317,90.4605864973334
63,83.4308274643024,95.8992778808413,94.287246878229,87.9600865152387,90.4154792084249,90.3985835894073
64,83.4981854331533,95.8947935480135,94.4060686492448,87.8672556137897,90.4079081252248,90.4148422738852
65,83.4932670548401,95.8997969390714,93.5663725335617,87.7977496827065,90.4080541571234,90.2330480734606
66,83.4445017892032,95.8611587186548,93.4991264278135,88.2497345157487,90.3883351608235,90.2885713224487
67,83.4640462557854,95.8610650281919,93.4988071883341,88.5878022511599,90.3886967139272,90.3600834874797
68,83.4065124576876,95.9620849182499,93.5267315491041,88.5631467559507,91.028830921094,90.4974613204173
69,83.1086460247037,95.8949553297308,92.3503118735164,88.5996036427984,91.0276085001784,90.1962250741855
70,82.9123204989365,95.9623101789396,92.2506978136322,87.7829202859348,91.2466002835053,90.0309698121897
71,82.9506542174376,97.0021067444584,92.1720655373943,87.7731985632507,92.7149425318481,90.5225935188778
72,82.9930531577796,96.8047458639187,91.8714458523574,87.8710228872453,92.0515357951967,90.3183607112995
73,83.4913694083634,96.8130003998784,91.8641988882665,87.8281707981764,92.0450913248479,90.4083661639065
74,83.4570028216348,96.8261046614582,91.1312982110559,87.7889416728454,92.0593149531954,90.2525324640379
75,83.5905481404782,96.73716182598,91.0807694477032,87.7884509132186,92.6570285221865,90.3707917699133
76,83.5014654639936,96.630433122824,91.1931376564967,87.6302857998876,92.6723427708,90.3255329628004
77,83.4975728031298,96.6367936269496,91.4417326567247,87.6932964711472,92.5998167177866,90.3738424551476
78,83.5004266515059,96.5590462636912,95.5333860349929,87.6855088493015,92.6070730013674,91.1770881601718
79,83.2650780270318,96.5129213954752,95.5244080815487,87.4245315286811,92.5473202188376,91.0548518503149
80,83.1235713475704,96.5128459227197,95.4128005480536,85.8279782797446,92.557774344978,90.6869940886133
81,83.1463820948327,96.0278131529067,95.0921744354887,85.8262093567268,92.5637558580094,90.5312669795928
82,83.2883992722269,96.0661377934401,95.1206995984008,86.1033365909693,91.9896009975769,90.5136348505228
83,81.8326506447261,96.0411126319259,97.8128710834302,85.8688989621232,91.924005241398,90.6959077127207
84,81.8305167488237,95.410128325893,97.7459391485995,85.9216856916194,91.9248715354745,90.566628290082
85,81.7747448570021,94.3691941153387,97.7528818718502,85.3968479649995,91.2977216123951,90.1182780843171
86,81.8547709524467,94.3782629490788,97.5651277738285,85.2961588635388,90.0759245633978,89.8340490204581
87,81.8852997754953,94.0791200373658,97.5519186161412,85.3625424736049,90.059399323629,89.7876560452472
88,83.0006699142083,94.2103185140388,97.287178101358,86.1560819880753,90.0818755467583,90.1472248128877
89,82.9553128469059,94.2104275639995,97.3119248358896,86.1279602057784,89.9693071802328,90.1149865265612
90,82.9565213491194,93.8994387373631,97.3054621851464,85.7980376400735,90.0438503410327,90.000662050547
91,84.0071045620177,93.8306340686001,97.3037688974689,85.7690784534224,89.6206807865295,90.1062533536077
92,83.9743236378044,93.8323000703657,97.5821933404438,85.7406221982933,89.6308398241773,90.1520558142169
