"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
26,0.0649566105532854,0.069996382905582,0.0697587859442329,0.0645798902994505,0.0665386627762639,0.687389311386603,0.687976585788359,0.625266942803801,0.691969638840086,0.670509505109707,0.0978160592868033,0.829081397633321
27,0.0649426290969833,0.0699957210729108,0.0697552653970191,0.0645444994812693,0.0665012629738063,0.688809082027126,0.687978530705707,0.625349889273047,0.692053873150207,0.671341604561686,0.0976949333118415,0.829491409384427
28,0.064940833242923,0.0700043443567976,0.0697575709476207,0.0645509376319828,0.0664490166255757,0.688820344461557,0.684620955058147,0.625102366475934,0.691727553679907,0.672859244385212,0.0975363671302652,0.830018084580191
29,0.0648594950632075,0.070027051338124,0.0697606939326564,0.0645501328871167,0.0664450583926312,0.690407643814249,0.683863733904188,0.62486340164787,0.691751620625656,0.672246298698364,0.0974653266093096,0.830382408071626
30,0.064862227716271,0.070043112735905,0.0698051898030276,0.0645202409300945,0.0664051623941041,0.690573060819962,0.682928228660043,0.62646176694412,0.692467258336011,0.671626504456355,0.097438750814037,0.830562222573355
31,0.064862356271622,0.0700631029443481,0.0698208788105877,0.0645109942048932,0.0664037955848824,0.69087644264746,0.683396305435007,0.625297224848129,0.692239330202743,0.67177580295885,0.0974412700703569,0.830783869810611
32,0.0648753226715524,0.0700699598020461,0.0698063469935536,0.064530348864116,0.0664364543579345,0.690912341657211,0.6831298517584,0.627579569362997,0.691581736302723,0.670637573091205,0.0974758943029666,0.830823216005829
33,0.0648747418000031,0.0700385713394364,0.0698103320483058,0.0644984311061403,0.066555086845503,0.69060825592756,0.684088696010715,0.627628942261358,0.691622791680765,0.669358262987258,0.097451361781146,0.830977076210386
34,0.0648658869546808,0.0700404049223973,0.0697942126363457,0.0644468329326623,0.0665573303044216,0.689410214464908,0.683822242334108,0.630491912060943,0.693523372543579,0.669660969125344,0.0974536402839177,0.831101196459883
35,0.0649177317031197,0.0699330447973163,0.0699109112190957,0.0644489372940888,0.0665568169985712,0.688132632059083,0.686930220255407,0.625279450604719,0.693745637866083,0.66953221628833,0.0974152876100298,0.831404145719642
36,0.0649164715775032,0.0699637901201794,0.0698088504873068,0.0646077926528002,0.0665566384177302,0.688029862344895,0.684493238818994,0.626418318793563,0.690363524137023,0.669101442168746,0.0974200936288063,0.831559231970914
37,0.0649158024758969,0.0699500302701768,0.0697919765433384,0.0646078388896277,0.0665591811937264,0.688231178360359,0.686031668440863,0.625513807295603,0.690383343974699,0.66901788979579,0.0973950539328516,0.831712612364307
38,0.065019928666935,0.0699199127659469,0.069699793278378,0.064606840189286,0.0665704373355128,0.685468362413878,0.686481592653918,0.625698791088126,0.690405995217756,0.669002822974437,0.0974056251535786,0.831676531916179
39,0.0650881160810826,0.0699211063538505,0.0697066486860128,0.0646050407907597,0.0665703200704403,0.68401480447006,0.686179482159273,0.625570421552389,0.68993244266758,0.668951458810735,0.0970234862232216,0.833708514024239
40,0.0650883382360882,0.0699202018457723,0.0697159499417321,0.0646267616194415,0.0666299707748104,0.684010581057148,0.685948036994921,0.625508540853111,0.690754258079769,0.671252573344602,0.0969201345001337,0.834291939637822
41,0.0650839283229038,0.070002754030734,0.0697157797515534,0.0646334710077219,0.0665864153392467,0.684291438015784,0.681522053417803,0.625584904269242,0.690435017122924,0.671683347464185,0.0968848802686296,0.834484861828331
42,0.0650804615252988,0.0700321243241383,0.0697315001641119,0.0646350786406081,0.066583521603813,0.685093182566878,0.681930486060777,0.625757380260847,0.689904128613758,0.671824427700488,0.0968782543475212,0.834516041215093
