"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
23,0.0968517005507584,0.0972066562315776,0.0998517139889197,0.0959639566157393,0.0992890335388758,0.830474168816969,0.840095087983828,0.810805847431621,0.822701678654543,0.842051539511689,0.0978326121851742,0.82922566447973
24,0.0967841796043078,0.0972244085567559,0.0998407302550053,0.0959108914804938,0.0992409638107103,0.830363288865987,0.839711712122216,0.8107762903617,0.822795897384479,0.842590042637506,0.0978002347414546,0.829247446274378
25,0.0967979391498528,0.0972231620328167,0.0998790459975663,0.0959324590683444,0.0992338012707927,0.829849481000646,0.839712022799576,0.810747819948762,0.822527313537066,0.842631879953711,0.0978132815038746,0.829093703447952
26,0.0967928764930127,0.0972311535342516,0.099866866693278,0.0959609190392306,0.0992284806742433,0.829790515940008,0.839735634278897,0.810803239454863,0.822436173132028,0.842641425360806,0.0978160592868033,0.829081397633321
27,0.0967589938352596,0.0972110138171788,0.0996911817807242,0.0955978129357406,0.0992156641903042,0.829897336702033,0.839759245758218,0.81138438360904,0.823513476906407,0.842902603946437,0.0976949333118415,0.829491409384427
28,0.0966214131741394,0.0969861101380337,0.0997034298697814,0.0953858654926965,0.0989850169766749,0.831114666106071,0.839969677889714,0.811290713777159,0.824106604150286,0.843608760977726,0.0975363671302652,0.830018084580191
29,0.096407651363143,0.0968834339371202,0.09972381212277,0.0953803401604219,0.0989313954630929,0.832128288316928,0.840159294638123,0.811659959819771,0.824127053022827,0.843837444560479,0.0974653266093096,0.830382408071626
30,0.0964060145948577,0.0968646739715638,0.0996871722384401,0.0952992065319624,0.0989366867333612,0.832235109078953,0.84021014216596,0.811573896586767,0.825024384730805,0.843767580304291,0.097438750814037,0.830562222573355
31,0.0963239326927336,0.096864709910531,0.099734658319537,0.095297477528509,0.0989855719004737,0.832935319174028,0.840209417252121,0.811552924107007,0.825087930151928,0.844133758367971,0.0974412700703569,0.830783869810611
32,0.09637060814951,0.0970055200267879,0.0997277080904019,0.0953015954026783,0.098974039845455,0.832912886814002,0.840238310246554,0.811600411017137,0.825101342853273,0.844263129098178,0.0974758943029666,0.830823216005829
33,0.0963703668266324,0.097015105674442,0.0995771135515614,0.0953220405424734,0.0989721823106209,0.832934464607932,0.840458269817073,0.812111900458743,0.825085731348429,0.844295014819752,0.097451361781146,0.830977076210386
34,0.0963856655269782,0.097015198677365,0.0995671095589715,0.0953450096598785,0.0989552179963955,0.833047374153392,0.840458269817073,0.812220240159886,0.825365968854388,0.844414129314676,0.0974536402839177,0.831101196459883
35,0.0963097279627443,0.0970806472204456,0.0994731693815048,0.09536460565755,0.0988482878279041,0.833601560266778,0.840560896904825,0.81274053152305,0.825368607418587,0.84474913248497,0.0974152876100298,0.831404145719642
36,0.0963151940160994,0.097198445878989,0.0993278745400654,0.0953846736293001,0.0988742800795777,0.833569727679695,0.840311422985154,0.813915425052399,0.825405107556672,0.844594476580648,0.0974200936288063,0.831559231970914
37,0.0962628688388692,0.0972597068051443,0.099256619366653,0.0954029768455472,0.0987930978080443,0.833802810582434,0.840214491648993,0.81414166703613,0.825518785697575,0.844885306856405,0.0973950539328516,0.831712612364307
38,0.096380765708696,0.0973295732993089,0.0992628871757085,0.0952856926730313,0.0987692069111482,0.83336377725051,0.84002694608298,0.814082987559081,0.825736467243985,0.845172481444338,0.0974056251535786,0.831676531916179
39,0.0955370888650744,0.0971949518099719,0.0994232841702819,0.095285252049207,0.0976768542215727,0.83823971775391,0.840947275980912,0.813997467654568,0.825733608799436,0.84962449993237,0.0970234862232216,0.833708514024239
40,0.0956068875049279,0.0965901739065307,0.099422798938372,0.0952238154857881,0.0977569966650498,0.837936346789758,0.843515127916225,0.813986057756253,0.826570803231713,0.849451362495161,0.0969201345001337,0.834291939637822
41,0.0956011795548508,0.0965301796225593,0.0993553340924715,0.0952243813230718,0.0977133267501948,0.837953438111682,0.843805921924708,0.814190131937544,0.826560908615968,0.849913908551751,0.0968848802686296,0.834484861828331
42,0.0955289404895698,0.0965499393555029,0.0993551953034815,0.095269518556341,0.0976876780327109,0.838343227072312,0.843901610551432,0.814189697274751,0.826208000654364,0.849937670522605,0.0968782543475212,0.834516041215093
43,0.0955306791357845,0.0965378123715789,0.0994708618063512,0.095271931137732,0.0975835469789394,0.838339808807927,0.844308080096766,0.814125801844187,0.826188651183572,0.850323650228663,0.0968789662860772,0.834657198432223
44,0.0954147357752562,0.0965760283501447,0.0994039928490527,0.0952744194364065,0.097623974830656,0.838258304566502,0.844304144850212,0.814614145492069,0.826377748284494,0.850238960127413,0.0968586302483032,0.834758660664138
45,0.0954278258084142,0.0965472582549902,0.0993381376269995,0.0952885071245066,0.0975658014669712,0.838297187323879,0.844425101902174,0.815108574419051,0.826834439771254,0.85058117312647,0.0968335060563764,0.835049295308566
46,0.0953839947910671,0.0965540144882004,0.0992523148743358,0.0953131224114357,0.097581979148265,0.838356579667565,0.844411432098356,0.815412403711325,0.82686808146479,0.850456473552926,0.0968170851426608,0.835100994098993
47,0.0954429243237601,0.096556318043341,0.0991688592693831,0.0952753034289572,0.0975785439526233,0.837908787033156,0.844484751955196,0.815781215091144,0.827268263701624,0.850618745473548,0.0968043898036129,0.835212352650934
48,0.0952993486113821,0.0965250421623791,0.0991697468519097,0.0953334520059294,0.0974447673498986,0.838340556553261,0.844234553121686,0.815953667554248,0.826792332684247,0.851180401288914,0.0967544713962998,0.835300302240471
49,0.0952921112383489,0.0965068977673106,0.0992663073038093,0.0953972332187214,0.097369599752152,0.83843434518232,0.84417738848754,0.815532587973576,0.826741760203768,0.852011664081283,0.0967664298560685,0.835379549185697
50,0.0952567221564316,0.0965094417463727,0.0991126762249805,0.0952980682085702,0.0974001898747876,0.838327951703343,0.844182255766172,0.816170998950724,0.827628647595125,0.851878028381948,0.0967154196422285,0.835637576479462
51,0.0952752471465439,0.0964076622682458,0.0991120996403062,0.0954432875544168,0.0973625634747149,0.838429324606504,0.844159886996288,0.816061029264107,0.827483086803485,0.851259404764661,0.0967201720168455,0.835478546487009
52,0.095283327790064,0.0963325069314116,0.0990783918035151,0.0954411037133122,0.0973107074087124,0.838389053179221,0.844037894353128,0.816061029264107,0.827479128957187,0.851291595126887,0.0966892075294031,0.835451740176106
53,0.0953796396515161,0.0963688100025433,0.0991422641476381,0.095392525978687,0.097299330464176,0.838733016032942,0.843919112042683,0.816154916427385,0.827565322054351,0.851295453908479,0.0967165140489121,0.835533564093168
