"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
23,0.0652474814871728,0.0702871286138641,0.0696138805731206,0.0649374605333636,0.0668017070548572,0.67445862885492,0.675755049329587,0.625876204369567,0.663036215090541,0.66789780859932,0.0673775316524757,0.661404781248787
24,0.0652508953911324,0.0702754124727319,0.0695875636516588,0.0649373122838573,0.0668171147991948,0.674162286048941,0.67625392062922,0.625235344148851,0.663092843198186,0.667515316793616,0.0673736597197151,0.661251942163763
25,0.065210830331447,0.0703272383699728,0.0695904288760604,0.0649372046389747,0.0668187308422746,0.675216731472591,0.674225371835782,0.624813699596854,0.663099213860296,0.667448543380803,0.0673768866117459,0.660960712029265
26,0.0651773168522101,0.070386413436066,0.0696284737364078,0.0649383485287956,0.0668305586347551,0.674905606721421,0.672824383039802,0.622020510160284,0.6631303593195,0.667330748232046,0.0673922222376469,0.660042321494611
27,0.0651596558036182,0.0703858933922328,0.0696193029000872,0.0649049764686808,0.0667832674193618,0.675759088080684,0.672827948721606,0.621547517793993,0.663270159960247,0.668861400310377,0.0673706191967962,0.660453222973381
28,0.0651604719355834,0.0704298051970453,0.06964726513656,0.0649295299061856,0.0667257226633788,0.676246540320923,0.669968596067896,0.620811203303113,0.662337211886806,0.670877957377332,0.0673785589677506,0.660048301791214
29,0.0650967208834874,0.0704271619093488,0.0696073387594835,0.0649280471187652,0.0667226427768964,0.677688835830309,0.669122881174626,0.623036275255883,0.662306066427602,0.670056473185852,0.0673563822895963,0.660442106374854
30,0.0651009067773225,0.0704443392824497,0.0696712253328687,0.0648932507815141,0.0666651928112415,0.677927458659827,0.667966951964431,0.624698496167347,0.663333512655674,0.668215923986517,0.0673549829970793,0.660428468686759
31,0.0651007482754951,0.0704545859430164,0.0696940485780775,0.0648704326883027,0.0666682110214413,0.678197053184031,0.668932603427463,0.623681085308469,0.664122412980295,0.668202569303954,0.0673576053012666,0.660627144840842
32,0.0651294282220456,0.070459559669964,0.0696876537185378,0.0648803191174942,0.0667026118344157,0.677350962797364,0.668719310825021,0.62672113923684,0.664593134125089,0.667391700372972,0.0673719145124914,0.660955249471457
33,0.0651282318762898,0.0704309517405611,0.0696994769858332,0.0648404433470516,0.066797422854111,0.677122194597973,0.670208793360311,0.62730768926936,0.66404277970392,0.666958186831324,0.0673793053607693,0.661127928752578
34,0.0651062336841436,0.0704286481554261,0.0697636259645127,0.0647679815749203,0.0667972468890486,0.675628514231494,0.670664228172517,0.627430463209949,0.666073959139989,0.667346499908914,0.0673727472536103,0.661428732932573
35,0.0650826828247181,0.070313916618862,0.0699002669344904,0.064769413681937,0.0667982952558269,0.680502684682808,0.673664263181029,0.622217014295758,0.666294100908456,0.667141043254105,0.0673729150631669,0.661963821264431
