"K","MSE_F1","MSE_F2","MSE_F3","MSE_F4","MSE_F5","MSE_TestAvg"
44,86.7342033307276,101.570069773391,93.7835321396245,91.85180306191,94.1990132619982,93.6277243135302
45,86.3002826297339,101.600034708061,93.7481993655546,91.8113740648948,93.9734192211623,93.4866619978814
46,86.2831670671674,99.1783401325436,93.7636224224289,91.8275975814413,92.205940565602,92.6517335538366
47,86.1032227452754,99.2300162953787,93.8507633003794,91.7685322165771,92.0897872439776,92.6084643603176
48,86.0730277118336,99.2490965972532,93.6979951760248,91.8369272524327,92.0766804787012,92.5867454432491
49,86.2051668865203,99.2373249332237,93.6229378852686,91.5458928834763,92.0767770273416,92.5376199231661
50,86.1657747550416,99.1734789054459,94.0204943297788,91.5823589612836,92.0734724736997,92.6031158850499
51,86.0106040698254,98.9972966309273,93.9636654879041,91.1927798370094,92.0854048304652,92.4499501712263
52,85.9897376013002,98.2235148544172,93.4056438900315,91.1219952551516,91.6378771460697,92.075753749394
53,85.9446650013826,98.1766744594891,91.7625510163616,91.0550124205032,91.5428948934975,91.6963595582468
54,86.7252615223479,98.1111587914649,93.4666466938561,91.0728039207452,91.8138672361971,92.2379476329223
55,86.3860352306501,98.0718170328963,94.8917256910049,86.2899184783715,91.7528752490266,91.4784743363899
56,86.4818928077886,98.1983447815705,95.0963151953623,89.3969486082439,91.7386301925525,92.1824263171036
57,86.6801712031077,98.1787620174319,94.6863031207101,88.6176086966757,91.6175668567511,91.9560823789353
58,83.7070834737877,97.6150092090162,94.7099765034182,88.5015294782216,90.7215475148306,91.0510292358549
59,83.7281054101643,97.5203556736356,94.7727612492241,88.4889210136284,90.8540828315862,91.0728452356477
60,83.4797236014277,94.8068321053559,94.7946125263506,88.4907224608064,90.1813466361004,90.3506474660082
61,83.4056411206888,94.7608324455974,94.8168442892363,88.6735576025949,90.3121394409395,90.3938029798114
62,83.4345561757122,95.7746287644677,94.4410684225614,88.6788915110513,90.4369465301744,90.5532182807934
63,83.4315942764487,95.9047120244936,94.2872468782297,88.7802010256926,90.4241271956315,90.5655762800992
64,83.4990813703431,95.900226811636,94.3944840696409,88.6993397017704,90.4510041433528,90.5888272193486
65,83.4941472602077,95.9052211497477,93.5530789368386,88.6357596643531,90.4510840539625,90.407858213022
66,83.4457549642642,95.8665352934496,93.7702921764695,89.0322521991614,90.5190466261072,90.5267762518904
67,83.4653972122795,95.8664424484837,93.7696684719259,89.1688882025314,90.519109967053,90.5579012604547
68,83.4077977545298,95.9678362980969,93.7908667932599,89.1446310919119,91.2336211990063,90.7089506273609
69,83.0869700368967,95.9005424093337,92.5359650406135,89.1893113653819,91.2394609739155,90.3904499652283
70,82.924899285795,95.9675911810911,92.4397350503528,88.3676874397025,91.4770801448611,90.2353986203605
71,82.9627472940883,97.0056468215859,92.3491389398275,88.3359395867761,92.9567480448968,90.7220441374349
72,83.0040348842381,96.8085331447415,92.0110000391356,88.409276378573,92.2632796888611,90.4992248271099
73,83.5020666543359,96.8055787743255,92.0054853262584,88.3566991361348,92.2511004946521,90.5841860771414
74,83.4714165924259,96.8108644457917,91.244978237416,88.3432037548861,92.2685720826174,90.4278070226274
