"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
16,0.107609070527157,0.109234843071773,0.104486654779689,0.100959451193409,0.108465993274114,0.760029721808826,0.770935511664899,0.770629856813383,0.777694149951362,0.787446733582001,0.106151202569229,0.773347194764094
17,0.102547579372391,0.104387361604776,0.104279395458147,0.100660161217681,0.108398674675026,0.787218917187845,0.799126375265111,0.772825012583488,0.780798420731375,0.788427574934492,0.104054634465604,0.785679260140462
18,0.102603717688579,0.104274489063943,0.10461317294223,0.100632439130376,0.1083474920705,0.78785001424989,0.798061373276776,0.774850649864342,0.784115755570449,0.789292145104811,0.104094262179125,0.786833987613253
19,0.102572952366425,0.104129350590401,0.10457272945576,0.100426027926055,0.108268034705422,0.788924310653576,0.797493765740986,0.774580724269919,0.785772663947186,0.791538463725625,0.103993819008812,0.787661985667459
20,0.0989455790949583,0.103762194377831,0.104378859604741,0.100300075673846,0.108224318836554,0.813313092935345,0.801158101637063,0.775230545145382,0.785848522667905,0.790840227351288,0.103122205517586,0.793278097947396
21,0.0986218740902555,0.0997156860169054,0.101615809079353,0.0968763711164673,0.103036019070269,0.814993276701238,0.821565772468187,0.795599060954502,0.808445846108382,0.819557787691462,0.0999731518746502,0.812032348784754
22,0.0985433912213646,0.0997209713841937,0.101648859424541,0.096934189721181,0.103045372346071,0.815311495751311,0.821609060180276,0.795738044382548,0.808574036352378,0.819510771484173,0.0999785568194702,0.812148681630137
23,0.098462914709615,0.0999062537925712,0.101611259234629,0.0963863607370837,0.102511946101576,0.818108170121891,0.821302835862937,0.796942820978913,0.810951382695592,0.821465752094811,0.099775746915095,0.813754192350829
24,0.0984122225944376,0.0999273688428113,0.101612174753339,0.0963269446005109,0.102468829005584,0.818058178005263,0.820962126358696,0.79678080042284,0.810954461020491,0.821949724543922,0.0997495079593365,0.813741058070242
25,0.0984093770033581,0.0999509679482876,0.101680992232281,0.0963584606472083,0.102470116242653,0.81765343413795,0.821006760339343,0.796633232404633,0.810614855820057,0.821932664667412,0.0997739828147576,0.813568189473879
26,0.0984189447340362,0.0998650892835402,0.101829330058431,0.0963697926410211,0.101742141175101,0.81771304012316,0.822041833742047,0.795310336194284,0.810657182787414,0.825860295046502,0.0996450595784261,0.814316537578681
27,0.0983801849234083,0.0993742098041701,0.10166296977735,0.096060639997415,0.101807649595282,0.818030618248661,0.824036485949099,0.796468060543311,0.811725251587096,0.825744734692518,0.0994571308195252,0.815201030204137
28,0.0986376594238713,0.0991215712730563,0.101050623550662,0.0956493487062714,0.101540155395504,0.818609159495789,0.824440884312036,0.799531998570829,0.813651183571948,0.826485519211249,0.099199871669873,0.81654374903237
29,0.0979802769013824,0.0985341208962568,0.101161669058894,0.0955118558495476,0.10118254992496,0.823665092983201,0.827123272633881,0.799950470174743,0.814152950530439,0.831323923592875,0.0988740945262081,0.819243141983028
30,0.097415446448351,0.0984929301917126,0.101120757107767,0.0968008935260354,0.101278539997257,0.826302604418363,0.827200424178155,0.799854409697501,0.811594642659251,0.830679608613938,0.0990217134542247,0.819126337913441
31,0.0973234925741347,0.098269021459347,0.100665075774809,0.0966235379607549,0.100751007621537,0.82745498679909,0.83097546477333,0.804487806404669,0.812458662494217,0.832570005406356,0.0987264270781166,0.821589385175533
32,0.0976086848858477,0.0984337451134943,0.100790660915629,0.0965280343978089,0.100622873654651,0.826137459520272,0.83123757290562,0.804265476386074,0.815353497240941,0.833321960082326,0.0987967997934862,0.822063193227047
33,0.0976050410007152,0.0985283722133883,0.100639469278207,0.0962734570760828,0.100616379933739,0.826254855537738,0.831244407807529,0.805538277709536,0.816953676487403,0.833355673647812,0.0987325439004265,0.822669378238003
34,0.0976212965217905,0.0984649883850841,0.100622007199988,0.0963062708509984,0.100567736319088,0.826447026088621,0.83169540777439,0.805660635285752,0.817135737417127,0.833673718488479,0.0987164598553898,0.822922505010874
35,0.0975512471537159,0.0982609581098109,0.100538170393561,0.0963283824088407,0.100498574535984,0.827013710231164,0.832262083278102,0.806301762905356,0.817130790109254,0.833861580223866,0.0986354665203824,0.823313985349548
36,0.0975363554807284,0.0983560554762837,0.100439123125305,0.0963477451117807,0.10040403631146,0.827075879914663,0.831953166423648,0.806816729649305,0.817154317306694,0.833958151310544,0.0986166631011114,0.823391648920971
37,0.0971146208878135,0.0984251656764899,0.100358239008217,0.0963685453406288,0.100316178745984,0.828974725780422,0.831797517066543,0.807109801037453,0.817180373128159,0.834339053672402,0.0985165499318267,0.823880294136996
38,0.0971061173152637,0.0978328013737197,0.0998348991639282,0.0955508708799915,0.0993056045976759,0.828950050184394,0.837092805540827,0.811264199346789,0.821540050765975,0.841882260856073,0.0979260586661158,0.828145873338812
39,0.0961877363348193,0.097727193495263,0.0999457004072448,0.0954836560445667,0.0981739645757362,0.834306043192334,0.837348803685048,0.811257027410705,0.8219622210378,0.846387693005085,0.097503650171526,0.830252357666194
40,0.0962649145710034,0.0971040337078781,0.0999483816643792,0.0955654640614553,0.0982645478363347,0.833946911790406,0.839948966065748,0.811240292893176,0.822779076537711,0.846260657853209,0.0974294683682101,0.83083518102805
41,0.0962442501114475,0.0969680970729796,0.0997596005776352,0.0955669797523103,0.0980085388799492,0.834046789202899,0.840677504473754,0.812291090195138,0.822744995083475,0.847745273297191,0.0973094932788644,0.831501130450491
42,0.0960723137309805,0.0969899489339538,0.0998772841122977,0.095686484971936,0.0979865278001887,0.834755117675888,0.840797633052757,0.811602475665404,0.822557657025353,0.847309332524208,0.0973225119098713,0.831404443188722
43,0.0960857766594374,0.0969785408846875,0.100020968430694,0.0956913948602022,0.0978000150527883,0.834704484634688,0.841234445420202,0.811453712324516,0.822526653896016,0.848280222282067,0.0973153391775619,0.831639903711498
44,0.0959678093543961,0.0970042574790691,0.0998669673604881,0.0956104370847404,0.0978880251050286,0.834686431925906,0.841231545764846,0.812277941645651,0.823131324858265,0.848237267950138,0.0972674992767445,0.831912902428961
45,0.0959783834470688,0.0970079637003202,0.0998021282198335,0.09539002380434,0.0978314959504318,0.835294882986401,0.842043242146076,0.812770631921462,0.825177531394516,0.849376420894774,0.0972019990243989,0.832932541868646
46,0.0958780301946095,0.0970013925853034,0.0997121856605179,0.095416207517391,0.0978495859119118,0.835590562855686,0.842993811306999,0.813067941271841,0.825232061721294,0.849237301663704,0.0971714803739467,0.833224335763905
47,0.0959522336642842,0.0970263052408029,0.0994949885937725,0.0953770213551735,0.0978459049846273,0.835007321495029,0.843080490290297,0.813973995863749,0.825583430520448,0.849376420894774,0.0971392907677321,0.833404331812859
48,0.095804520505265,0.0969897667087033,0.0994936909911759,0.0954547621279477,0.0977136308801969,0.835503824396922,0.842850899721633,0.8141743754113,0.825084302126155,0.849927414287322,0.0970912742426578,0.833508163188666
49,0.0957918183096084,0.0969686793508563,0.0995806227564149,0.0953949458046711,0.0976432689834214,0.835626027348679,0.842771987672322,0.813772964322009,0.826764627760158,0.850773706018521,0.0970758670409944,0.833941862624338
50,0.0957769097652146,0.0967832393868993,0.0998447475107558,0.0952980682085702,0.0976665798238625,0.835491860471575,0.843243803022269,0.811922387481016,0.827628647595125,0.850683430838651,0.0970739089390605,0.833794025881727
51,0.0954694477763283,0.0963855982930162,0.0998459863682374,0.0958949155115389,0.0976208486829401,0.837461208040271,0.844223265177625,0.811801007896084,0.826153140507062,0.85001535388886,0.0970433593264122,0.83393079510198
52,0.0954898235970153,0.0963112179147716,0.0995999686759928,0.0958832713702452,0.0975994581247552,0.837426170830326,0.8441286121421,0.813166609725841,0.826194697893194,0.849846786061431,0.096976747936556,0.834152575330578
53,0.095592122563336,0.0963479704351271,0.0993512061107108,0.0958337736177508,0.0975746024200145,0.837740010229156,0.844026606409067,0.815034355747155,0.826283749434907,0.849915228661242,0.0969399350293878,0.834599990096306
54,0.0955902481869372,0.0962247896540043,0.0988974850324443,0.095586899632638,0.0971065645014808,0.837626566579885,0.844879622879109,0.817823369558131,0.827583022422519,0.852107321246005,0.0966811974015009,0.83600398053713
55,0.0953221277914589,0.0962175656516117,0.0987362738221067,0.0952699814595361,0.0969683861742896,0.83886953296681,0.845100618040827,0.818920675778937,0.829835476726984,0.852690606547662,0.0965028669798006,0.837083382012244
56,0.0953415333908685,0.0958797394230477,0.0986548802493872,0.0952239131983686,0.0969838479096061,0.838672341840112,0.84628305607105,0.818844609790171,0.830268201255605,0.85277448427384,0.0964167828342556,0.837368538646155
57,0.0953374851301046,0.0958656114899105,0.0984947086227605,0.0951554303733656,0.0970088597736564,0.838680887501074,0.846352026444857,0.818220651350889,0.830408265038497,0.852625007260602,0.0963724190779595,0.837257367519184
58,0.0945386200868819,0.0958554139688792,0.0985048297318672,0.0949316808857514,0.0970048366340675,0.840276576044205,0.846422653764581,0.818136978763245,0.831384094031392,0.852704213830117,0.0961670762614894,0.837784903286708
59,0.0945425612993472,0.0958890840700545,0.0982850006207116,0.0949176491166273,0.0970079005141699,0.840268244024767,0.84634995526246,0.818378216613334,0.831328464302865,0.852962549102996,0.0961284391241821,0.837857485861284
60,0.094486572745663,0.0956501287181979,0.098319447427411,0.0949378873500149,0.0970060074478565,0.840032811065264,0.848948460697243,0.818687044527726,0.831968975762149,0.852973617713351,0.0960800087378287,0.838522181953147
61,0.094391148277266,0.0956591578838955,0.0982974065901902,0.0945559495456339,0.0969238656379359,0.840680785807708,0.848811969777306,0.819176909495383,0.833283970194779,0.853046629922942,0.0959655055869843,0.839000053039624
62,0.0943793861263805,0.0957501665852458,0.0982168002970273,0.0945665699569972,0.0966459866417634,0.840734837113293,0.848346782211029,0.819846290196528,0.833054634989824,0.854054381199691,0.0959117819214828,0.839207385142073
